[3.4] 昔涟 | 哎呀别上当了 | 00:00:00,340 --> 00:00:02,820
[3.4] 昔涟 | 他们在骗你 | 00:00:04,420 --> 00:00:05,700
[3.4] 昔涟 | 快回来 | 00:00:05,700 --> 00:00:07,460
[3.4] 昔涟 | 别走 | 00:00:09,060 --> 00:00:10,000
[3.4] 昔涟 | 他们会装作你记忆里的人 | 00:00:10,000 --> 00:00:11,780
[3.4] 昔涟 | 别让坏人骗走你的信任呀 | 00:00:13,020 --> 00:00:15,580
[3.4] 昔涟 | 你跑的也太快了等等 | 00:00:16,150 --> 00:00:18,310
[3.4] 昔涟 | 我那些甜言蜜语真的很动听 | 00:00:18,310 --> 00:00:22,510
[3.4] 昔涟 | 但你要睁大眼睛 | 00:00:22,510 --> 00:00:24,270
[3.4] 昔涟 | 千万别被蒙蔽了呀 | 00:00:24,270 --> 00:00:26,170
[3.4] 昔涟 | 哎 | 00:00:26,170 --> 00:00:27,100
[3.4] 昔涟 | 终于追上你了 | 00:00:29,180 --> 00:00:30,800
[3.4] 昔涟 | 哎我没事 | 00:00:30,800 --> 00:00:33,010
[3.4] 昔涟 | 只是好久没运动 | 00:00:34,170 --> 00:00:35,570
[3.4] 昔涟 | 身体都没力气了 | 00:00:35,570 --> 00:00:37,970
[3.4] 昔涟 | 哎呀在做出决定前 | 00:00:38,680 --> 00:00:41,790
[3.4] 昔涟 | 能不能和我聊聊呢 | 00:00:41,790 --> 00:00:43,590
[3.4] 昔涟 | 3月嗯 | 00:00:43,590 --> 00:00:46,570
[3.4] 昔涟 | 做个自我介绍吧 | 00:00:47,010 --> 00:00:48,650
[3.4] 昔涟 | 我是希怜往昔的涟漪 | 00:00:48,650 --> 00:00:53,050
[3.4] 昔涟 | 很好记的名字对吧 | 00:00:54,090 --> 00:00:57,090
[3.4] 昔涟 | 仔细一看才发现你和我是不是有点相似 | 00:00:59,380 --> 00:01:05,540
[3.4] 昔涟 | 不仅如此 | 00:01:06,150 --> 00:01:07,430
[3.4] 昔涟 | 我们还都是开朗美丽乐观的青春少女 | 00:01:07,430 --> 00:01:10,790
[3.4] 昔涟 | 真是不可思议的巧合 | 00:01:10,790 --> 00:01:13,090
[3.4] 昔涟 | 我们是初次见面哦 | 00:01:13,090 --> 00:01:15,145
[3.4] 昔涟 | 但从刚才的记忆里 | 00:01:15,250 --> 00:01:17,550
[3.4] 昔涟 | 我已经了解了你的经历 | 00:01:17,550 --> 00:01:20,170
[3.4] 昔涟 | 真是难以置信 | 00:01:20,950 --> 00:01:22,670
[3.4] 昔涟 | 我们的共同点或许远比想象中更多呢 | 00:01:22,670 --> 00:01:27,260
[3.4] 昔涟 | 我完全理解你的困境 | 00:01:27,540 --> 00:01:29,700
[3.4] 昔涟 | 所以更不希望你被坏人利用 | 00:01:29,700 --> 00:01:32,060
[3.4] 昔涟 | 受到伤害 | 00:01:32,060 --> 00:01:34,200
[3.4] 昔涟 | 毕竟我可是亲身体会过呢 | 00:01:35,340 --> 00:01:38,620
[3.4] 昔涟 | 在这片空荡荡的地方 | 00:01:38,620 --> 00:01:40,860
[3.4] 昔涟 | 我独自待了很久很久 | 00:01:40,860 --> 00:01:43,350
[3.4] 昔涟 | 久到都快忘了时间是什么概念 | 00:01:43,350 --> 00:01:46,490
[3.4] 昔涟 | 但有一件事我记得特别清楚 | 00:01:46,490 --> 00:01:50,310
[3.4] 昔涟 | 那扇门背后绝对没有你想要的答案哦 | 00:01:52,540 --> 00:01:56,480
[3.4] 昔涟 | 对那些对话很真实 | 00:01:56,480 --> 00:01:59,660
[3.4] 昔涟 | 也很诱人吧 | 00:01:59,660 --> 00:02:01,400
[3.4] 昔涟 | 那是因为坏人翻看了你的记忆 | 00:02:01,400 --> 00:02:04,420
[3.4] 昔涟 | 勾起了你心底最深处的渴望 | 00:02:04,420 --> 00:02:07,680
[3.4] 昔涟 | 拨弄女孩子细腻的心绪 | 00:02:08,889 --> 00:02:11,229
[3.4] 昔涟 | 真是不可饶恕 | 00:02:11,229 --> 00:02:13,649
[3.4] 昔涟 | 如果走进那扇门 | 00:02:14,810 --> 00:02:16,550
[3.4] 昔涟 | 最坏的情况 | 00:02:16,550 --> 00:02:18,150
[3.4] 昔涟 | 你会变成他们的棋子 | 00:02:18,150 --> 00:02:20,170
[3.4] 昔涟 | 再也无法掌控自己的命运 | 00:02:20,170 --> 00:02:22,829
[3.4] 昔涟 | 虽然我被困在这里 | 00:02:23,149 --> 00:02:24,909
[3.4] 昔涟 | 和你一样失去了记忆 | 00:02:24,909 --> 00:02:27,430
[3.4] 昔涟 | 但我还依稀记得那个养育了我的故乡 | 00:02:27,950 --> 00:02:31,510
[3.4] 昔涟 | 这扇门的背后是温法罗斯 | 00:02:32,360 --> 00:02:34,760
[3.4] 昔涟 | 它绝对不是一个温柔的世界 | 00:02:35,920 --> 00:02:38,720
[3.4] 昔涟 | 漫长的时光里 | 00:02:39,440 --> 00:02:41,140
[3.4] 昔涟 | 我只能眼睁睁看着人们走进记忆之门 | 00:02:41,140 --> 00:02:44,780
[3.4] 昔涟 | 那些人看不见 | 00:02:45,220 --> 00:02:46,380
[3.4] 昔涟 | 我也听不见我的呼唤 | 00:02:46,380 --> 00:02:48,340
[3.4] 昔涟 | 天外之音总会给出安全的承诺 | 00:02:49,620 --> 00:02:52,860
[3.4] 昔涟 | 但我从没见过有人平安归来 | 00:02:53,320 --> 00:02:56,520
[3.4] 昔涟 | 所以我不能对你视而不见 | 00:02:57,409 --> 00:03:00,929
[3.4] 昔涟 | 方法其实一点也不复杂 | 00:03:01,990 --> 00:03:04,230
[3.4] 昔涟 | 只要回头 | 00:03:04,230 --> 00:03:05,690
[3.4] 昔涟 | 然后一步步离开这里就好了 | 00:03:05,690 --> 00:03:08,670
[3.4] 昔涟 | 嗯真难缠对吧 | 00:03:09,100 --> 00:03:11,820
[3.4] 昔涟 | 可千万别听他们的 | 00:03:12,940 --> 00:03:14,400
[3.4] 昔涟 | 你要坚定地走下去 | 00:03:14,400 --> 00:03:16,860
[3.4] 昔涟 | 返程的路也许要花上很久很久 | 00:03:17,720 --> 00:03:20,600
[3.4] 昔涟 | 比普通人一生的时光还要漫长许多 | 00:03:20,600 --> 00:03:24,920
[3.4] 昔涟 | 但你要相信 | 00:03:25,440 --> 00:03:26,980
[3.4] 昔涟 | 那才是家的方向 | 00:03:26,980 --> 00:03:29,520
[3.4] 昔涟 | 为什么 | 00:03:31,100 --> 00:03:33,340
[3.4] 昔涟 | 嗯这样啊 | 00:03:35,520 --> 00:03:37,080
[3.4] 昔涟 | 你也有比生命更重要的伙伴呢 | 00:03:38,480 --> 00:03:41,480
[3.4] 昔涟 | 真是听着就让人家怦怦心跳 | 00:03:43,120 --> 00:03:45,960
[3.4] 昔涟 | 3月 | 00:03:46,400 --> 00:03:47,380
[3.4] 昔涟 | 既然这是你的决定 | 00:03:47,380 --> 00:03:49,340
[3.4] 昔涟 | 那我一定站在你这边 | 00:03:49,340 --> 00:03:52,000
[3.4] 昔涟 | 谁让我们是如此相似呢 | 00:03:52,740 --> 00:03:55,020
[3.4] 昔涟 | 娇弱可爱的外表下都藏着一颗炽热的真心呢 | 00:03:55,020 --> 00:04:00,200
[3.4] 昔涟 | 谁知道呢 | 00:04:00,680 --> 00:04:02,520
[3.4] 昔涟 | 不过你不用替我担心了 | 00:04:03,050 --> 00:04:05,710
[3.4] 昔涟 | 我在这里待了那么久 | 00:04:05,710 --> 00:04:07,710
[3.4] 昔涟 | 早就习惯和自己想象出来的朋友聊天了 | 00:04:07,710 --> 00:04:10,570
[3.4] 昔涟 | 哎 | 00:04:11,730 --> 00:04:12,255
[3.4] 昔涟 | 嗯那我可就满怀期待地等着了去吧 | 00:04:14,480 --> 00:04:18,980
[3.4] 昔涟 | 3月祝愿你们能写下一段无比浪漫的故事呀 | 00:04:18,980 --> 00:04:25,000
[3.4] 昔涟 | 然后就在那里完成你我最初也是最后的心愿 | 00:04:25,790 --> 00:04:33,550
[3.4] 昔涟 | 为这个我们深爱的世界写下不同以往的结局吧 | 00:04:34,299 --> 00:04:40,310
[3.4] 昔涟 | 嗯哒哒哒哒哒哒哒哒哒哒哎呀 | 00:04:43,500 --> 00:04:51,680
[3.4] 昔涟 | 这么急匆匆的过来 | 00:04:51,680 --> 00:04:53,580
[3.4] 昔涟 | 小秋千都被吓到了 | 00:04:53,580 --> 00:04:55,620
[3.4] 昔涟 | 一晃一晃 | 00:04:55,620 --> 00:04:57,500
[3.4] 昔涟 | 果然是你啊 | 00:04:58,410 --> 00:04:59,950
[3.4] 昔涟 | 嗯没什么 | 00:04:59,950 --> 00:05:02,130
[3.4] 昔涟 | 只是忽然有种莫名的心灵感应 | 00:05:03,290 --> 00:05:07,090
[3.4] 昔涟 | 你脑袋上怎么还有落叶 | 00:05:08,210 --> 00:05:10,330
[3.4] 昔涟 | 难道又躺在树上睡觉了 | 00:05:10,330 --> 00:05:12,650
[3.4] 昔涟 | 还是麦田收拾干净再出门呀是吗 | 00:05:12,650 --> 00:05:18,260
[3.4] 昔涟 | 虽然你的个头比我要高 | 00:05:18,260 --> 00:05:20,280
[3.4] 昔涟 | 但论成熟我可远胜于你呢 | 00:05:20,280 --> 00:05:23,560
[3.4] 昔涟 | 喜欢幻想那些英雄故事 | 00:05:24,110 --> 00:05:26,370
[3.4] 昔涟 | 把自己当成里面的角色 | 00:05:26,370 --> 00:05:28,550
[3.4] 昔涟 | 可不是大人会做出的举动呀 | 00:05:28,550 --> 00:05:31,390
[3.4] 昔涟 | 嘿你说是吧 | 00:05:32,720 --> 00:05:34,240
[3.4] 昔涟 | 既然又在陪他胡闹 | 00:05:35,440 --> 00:05:36,760
[3.4] 昔涟 | 今天的人设是什么 | 00:05:37,880 --> 00:05:39,040
[3.4] 昔涟 | 星河猎手 | 00:05:40,480 --> 00:05:42,210
[3.4] 昔涟 | 你是准备捕获谁的心呢 | 00:05:44,410 --> 00:05:46,570
[3.4] 昔涟 | 嗯嗯怎么又换身份了 | 00:05:46,570 --> 00:05:51,350
[3.4] 昔涟 | 明明不久前还是从一帮漂流过来和你定下建议修习契约的勇者 | 00:05:51,350 --> 00:05:57,250
[3.4] 昔涟 | 正要和你说呢 | 00:05:57,250 --> 00:05:59,180
[3.4] 昔涟 | 不久前我在秋千上睡甜甜的觉 | 00:05:59,180 --> 00:06:02,880
[3.4] 昔涟 | 做了个奇怪的梦 | 00:06:02,880 --> 00:06:05,060
[3.4] 昔涟 | 那梦里一直有个模糊的声音 | 00:06:05,560 --> 00:06:09,220
[3.4] 昔涟 | 似乎在呼唤什么哦 | 00:06:09,220 --> 00:06:11,960
[3.4] 昔涟 | 你也是吗 | 00:06:11,960 --> 00:06:13,640
[3.4] 昔涟 | 难怪醒来以后总觉得心里惴惴不安呢 | 00:06:14,080 --> 00:06:18,440
[3.4] 昔涟 | 于是我想起了小时候常玩的神谕牌 | 00:06:18,840 --> 00:06:22,280
[3.4] 昔涟 | 虽然欧洛尼斯神域总是解读不准就是了 | 00:06:23,280 --> 00:06:26,840
[3.4] 昔涟 | 孩子总是幸福的 | 00:06:30,160 --> 00:06:32,120
[3.4] 昔涟 | 觉得神明注意不到 | 00:06:32,120 --> 00:06:33,840
[3.4] 昔涟 | 艾利密歇的小角落 | 00:06:33,840 --> 00:06:35,500
[3.4] 昔涟 | 会对我们睁一只眼闭一只眼 | 00:06:35,500 --> 00:06:38,760
[3.4] 昔涟 | 但命运从来都是确凿不移 | 00:06:39,250 --> 00:06:42,930
[3.4] 昔涟 | 毕竟我们也不知道神域里的未来究竟是多远 | 00:06:42,930 --> 00:06:47,050
[3.4] 昔涟 | 以后我倒是还能想起几个地点 | 00:06:47,050 --> 00:06:50,630
[3.4] 昔涟 | 我们一起去看看吧 | 00:06:50,630 --> 00:06:53,110
[3.4] 昔涟 | 村子就这么大 | 00:06:54,560 --> 00:06:56,040
[3.4] 昔涟 | 当年藏下的童年秘密都还在原地吧 | 00:06:56,040 --> 00:06:59,890
[3.4] 昔涟 | 谢谢您 | 00:07:00,290 --> 00:07:01,230
[3.4] 昔涟 | 我们会注意的 | 00:07:01,230 --> 00:07:02,690
[3.4] 昔涟 | 艾利密歇的小校舍只有您一位 | 00:07:02,690 --> 00:07:05,210
[3.4] 昔涟 | 老师是太辛苦了 | 00:07:05,210 --> 00:07:07,640
[3.4] 昔涟 | 课堂上雕的木头人 | 00:07:07,640 --> 00:07:09,540
[3.4] 昔涟 | 原来是藏到了这里 | 00:07:09,540 --> 00:07:11,730
[3.4] 昔涟 | 这可真是连我也不知道的秘密啊 | 00:07:12,170 --> 00:07:15,410
[3.4] 昔涟 | 神谕牌不在这里呢 | 00:07:16,160 --> 00:07:17,840
[3.4] 昔涟 | 让我想想嗯 | 00:07:19,120 --> 00:07:21,680
[3.4] 昔涟 | 还有一个地方没去找过 | 00:07:21,680 --> 00:07:24,190
[3.4] 昔涟 | 是呀 | 00:07:24,590 --> 00:07:25,690
[3.4] 昔涟 | 我还记得你们喊我出去玩 | 00:07:25,690 --> 00:07:28,270
[3.4] 昔涟 | 总是不走正门 | 00:07:28,270 --> 00:07:29,250
[3.4] 昔涟 | 爱翻墙 | 00:07:29,250 --> 00:07:30,270
[3.4] 昔涟 | 真是调皮 | 00:07:30,270 --> 00:07:32,390
[3.4] 昔涟 | 像某个人一样捉不准出现的时机是吧 | 00:07:33,340 --> 00:07:38,080
[3.4] 昔涟 | 也许就是你哦 | 00:07:38,080 --> 00:07:40,260
[3.4] 昔涟 | 不过这里最近只有我一个人住 | 00:07:40,830 --> 00:07:44,130
[3.4] 昔涟 | 还好久没认真打理了 | 00:07:44,130 --> 00:07:46,270
[3.4] 昔涟 | 真让人害羞 | 00:07:46,270 --> 00:07:48,470
[3.4] 昔涟 | 这么多角落该从哪里找起呢 | 00:07:50,260 --> 00:07:54,000
[3.4] 昔涟 | 好久没去房顶了 | 00:07:54,000 --> 00:07:56,160
[3.4] 昔涟 | 也许那里能有所发现 | 00:07:56,160 --> 00:07:58,700
[3.4] 昔涟 | 上去找一找吧 | 00:07:59,930 --> 00:08:02,130
[3.4] 昔涟 | 远远地望过去 | 00:08:03,600 --> 00:08:05,340
[3.4] 昔涟 | 还是熟悉的风景呀 | 00:08:05,340 --> 00:08:07,720
[3.4] 昔涟 | 要说艾利密歇最让人留恋的地方 | 00:08:07,720 --> 00:08:10,880
[3.4] 昔涟 | 除了大树下的秋千架 | 00:08:10,880 --> 00:08:12,940
[3.4] 昔涟 | 就是这儿了啊 | 00:08:12,940 --> 00:08:14,560
[3.4] 昔涟 | 什么动静 | 00:08:14,560 --> 00:08:16,240
[3.4] 昔涟 | 小心一点啦 | 00:08:17,480 --> 00:08:18,640
[3.4] 昔涟 | 虽然我是村子里的小占卜师 | 00:08:19,840 --> 00:08:22,060
[3.4] 昔涟 | 不过暂时还没掌握让时间倒流的能力哦 | 00:08:22,060 --> 00:08:25,670
[3.4] 昔涟 | 因为自幼就能听见朦胧的神谕 | 00:08:25,670 --> 00:08:28,740
[3.4] 昔涟 | 村子里的人都说我是未来的岁月祭司 | 00:08:28,740 --> 00:08:32,520
[3.4] 昔涟 | 不过占卜的次数多了 | 00:08:32,520 --> 00:08:35,540
[3.4] 昔涟 | 反倒会对命运产生迷茫 | 00:08:35,540 --> 00:08:38,260
[3.4] 昔涟 | 说着对神域笃信不疑 | 00:08:38,719 --> 00:08:40,519
[3.4] 昔涟 | 但真要离开艾莉密泄的话 | 00:08:41,599 --> 00:08:44,319
[3.4] 昔涟 | 不知停泊的那艘船会把我们带到什么地方呢 | 00:08:44,900 --> 00:08:49,920
[3.4] 昔涟 | 已经装在眼睛里了 | 00:08:50,240 --> 00:08:52,140
[3.4] 昔涟 | 去到哪里都会珍藏 | 00:08:52,140 --> 00:08:54,200
[3.4] 昔涟 | 包括童年的伙伴哦 | 00:08:54,200 --> 00:08:57,930
[3.4] 昔涟 | 来啦 | 00:08:58,330 --> 00:08:59,410
[3.4] 昔涟 | 果然冥冥之中神明在聆听内心的声音呀 | 00:08:59,410 --> 00:09:04,050
[3.4] 昔涟 | 可是牌不见了 | 00:09:04,330 --> 00:09:06,210
[3.4] 昔涟 | 是被谁拿走了吗 | 00:09:07,250 --> 00:09:09,290
[3.4] 昔涟 | 嘿我知道了那群神神秘秘的小家伙 | 00:09:11,380 --> 00:09:16,240
[3.4] 昔涟 | 没想到是他们在调皮捣蛋嗯 | 00:09:16,240 --> 00:09:20,370
[3.4] 昔涟 | 跟我来到庭院后面去吧 | 00:09:20,370 --> 00:09:22,650
[3.4] 昔涟 | 就在这边太久没去拜访小妖精们 | 00:09:24,130 --> 00:09:28,149
[3.4] 昔涟 | 连去迷境的路上都长满杂草 | 00:09:28,149 --> 00:09:30,689
[3.4] 昔涟 | 看不清了呢 | 00:09:30,689 --> 00:09:32,300
[3.4] 昔涟 | 只要沿着树洞爬一小段距离 | 00:09:32,300 --> 00:09:34,680
[3.4] 昔涟 | 穿过最狭窄的地方 | 00:09:34,680 --> 00:09:36,460
[3.4] 昔涟 | 就到它们的栖息地迷路迷境了 | 00:09:36,460 --> 00:09:39,520
[3.4] 昔涟 | 诶不如担心一下自己会不会被小妖精们拒绝吧 | 00:09:39,520 --> 00:09:45,120
[3.4] 昔涟 | 毕竟迷路迷境实行的是邀请制 | 00:09:45,120 --> 00:09:48,500
[3.4] 昔涟 | 只有天真无邪的孩子才能进入呢 | 00:09:48,500 --> 00:09:51,260
[3.4] 昔涟 | 那你先请 | 00:09:51,260 --> 00:09:53,050
[3.4] 昔涟 | 真是冒冒失失啊 | 00:09:56,050 --> 00:09:58,089
[3.4] 昔涟 | 不过这下就只剩下我们了 | 00:09:58,489 --> 00:10:01,289
[3.4] 昔涟 | 继续刚才的话题吗 | 00:10:02,489 --> 00:10:04,489
[3.4] 昔涟 | 其实从看见小妖精的可爱字条开始 | 00:10:05,009 --> 00:10:08,969
[3.4] 昔涟 | 我心中的预感就越发强烈 | 00:10:08,969 --> 00:10:11,940
[3.4] 昔涟 | 也许当我们再度踏入睽违多年的迷境 | 00:10:12,380 --> 00:10:16,180
[3.4] 昔涟 | 命运的齿轮就要开始转动了呢 | 00:10:17,380 --> 00:10:21,210
[3.4] 昔涟 | 如果我是你会怎么做呢 | 00:10:22,960 --> 00:10:26,960
[3.4] 昔涟 | 嘿嘿开个玩笑 | 00:10:27,150 --> 00:10:28,910
[3.4] 昔涟 | 没有别的意思啊 | 00:10:28,910 --> 00:10:30,150
[3.4] 昔涟 | 但即便命运确凿不移 | 00:10:31,710 --> 00:10:34,560
[3.4] 昔涟 | 无论他要将世界带向何方 | 00:10:34,560 --> 00:10:37,120
[3.4] 昔涟 | 只要我们能够共同面对 | 00:10:37,120 --> 00:10:39,580
[3.4] 昔涟 | 那就没什么好害怕的对吧 | 00:10:39,580 --> 00:10:43,300
[3.4] 昔涟 | 所以如果你愿意 | 00:10:44,030 --> 00:10:47,590
[3.4] 昔涟 | 唉算了没什么 | 00:10:48,010 --> 00:10:50,230
[3.4] 昔涟 | 如果命运果真开始流转 | 00:10:50,230 --> 00:10:52,850
[3.4] 昔涟 | 到时再请你听听我的请求吧 | 00:10:52,850 --> 00:10:55,970
[3.4] 昔涟 | 那时我们都是小孩子呢 | 00:10:57,700 --> 00:11:00,220
[3.4] 昔涟 | 说不定我和莱拉尼一样都是迷境的小妖精呢 | 00:11:01,010 --> 00:11:04,750
[3.4] 昔涟 | 好啦好啦 | 00:11:04,750 --> 00:11:06,349
[3.4] 昔涟 | 他只是在学故事里的吟游诗人 | 00:11:06,349 --> 00:11:08,669
[3.4] 昔涟 | 多愁善感 | 00:11:08,669 --> 00:11:09,789
[3.4] 昔涟 | 才不会真的忘记大家呢 | 00:11:09,789 --> 00:11:12,590
[3.4] 昔涟 | 我们这次来是为了找回神谕牌 | 00:11:12,990 --> 00:11:15,710
[3.4] 昔涟 | 你知道他去哪里了吗 | 00:11:16,950 --> 00:11:18,630
[3.4] 昔涟 | 村长哆哆啦咪 | 00:11:18,630 --> 00:11:21,670
[3.4] 昔涟 | 他要石玉牌做什么 | 00:11:22,160 --> 00:11:24,339
[3.4] 昔涟 | 如果想占卜 | 00:11:24,339 --> 00:11:25,919
[3.4] 昔涟 | 直接告诉我就好了呀 | 00:11:25,919 --> 00:11:27,799
[3.4] 昔涟 | 村长您还是这么有精神 | 00:11:27,799 --> 00:11:30,839
[3.4] 昔涟 | 真是太好了哦 | 00:11:30,839 --> 00:11:33,689
[3.4] 昔涟 | 我的神谕牌册 | 00:11:33,689 --> 00:11:35,989
[3.4] 昔涟 | 有您替我保管 | 00:11:37,900 --> 00:11:39,240
[3.4] 昔涟 | 我就放心了 | 00:11:39,240 --> 00:11:40,560
[3.4] 昔涟 | 要是想让我占卜 | 00:11:40,560 --> 00:11:42,300
[3.4] 昔涟 | 随时乐意效劳什么 | 00:11:42,300 --> 00:11:45,330
[3.4] 昔涟 | 可如果是这样 | 00:11:46,490 --> 00:11:47,910
[3.4] 昔涟 | 我们的远行 | 00:11:47,910 --> 00:11:50,130
[3.4] 昔涟 | 我和白垩本来只打算离开村子一小段时间 | 00:11:50,929 --> 00:11:54,189
[3.4] 昔涟 | 学些本领 | 00:11:54,189 --> 00:11:55,029
[3.4] 昔涟 | 回来他要去玄风城锻炼 | 00:11:55,029 --> 00:11:58,030
[3.4] 昔涟 | 我打算去雅努萨波利斯接受命运泰坦的洗礼 | 00:11:58,030 --> 00:12:02,870
