# 未匹配LAB文件 (116 个) - 疑似非昔涟台词
# 匹配阈值: 0.6

[0.182] chapter4_72_yinger_101
  LAB: 「呜…哇……」
  SRT: 呜me黑超别怕

[0.184] side4_shitang_cyrene_120
  LAB: 「竟然！主人公不仅察觉了世界的本质，还说出了非常不得了的台词。但人家必须指出，扮演上层叙事者是犯规的哦！」
  SRT: 他们将为这世界为同行的每一位伙伴献出自己的心接过他人的心

[0.194] side4_shitang_cyrene_117
  LAB: 「妖精们与世隔绝，却向往人类的生活。它们想模仿村民，举办一场宴会，却唯独缺少了最重要的人。」
  SRT: 世人为神王的陨落举行了为期10日的盛大葬礼

[0.207] side4_shitang_cyrene_174
  LAB: 嘻，我想到了…「木盆里堆满了蔬菜，到处都是笑声。大家围成大大的圈，唱呀跳呀，仿佛这一刻永远不会结束。」
  SRT: 神里官真是不妙的名字呀呀不好

[0.213] archive_cyrene_8
  LAB: 没有人能拒绝粉色！它像心跳一样炙热，像花瓣一样温柔，还像我的眼睛…是属于「爱」的底色♪
  SRT: 粉色的像是花的嗯

[0.216] vo_ambient_w4_v340_greeting_cyrene_121
  LAB: 好舒服的风呀，真希望生活每天都能像海面一样平静。
  SRT: 希望能为一成不变的命运带来改变

[0.222] archive_cyrene_31
  LAB: 就像花儿留下种子，种子又盛开了花。记忆的每一道涟漪都闪烁着相同的色彩，你更喜欢哪个「我」呢？嘻…不用说出来，「爱」就是这样，捉摸不透，却又始终如一♪
  SRT: 最先映入眼帘的就是一片无垠的花海了而我们的故事会静静的躺在花丛中一如记忆的每一道涟漪

[0.222] chapter4_52_cyrene_147
  LAB: 应该说是「未来」吧。尚未掌管圣城的「金织」女士…也别具一番魅力呢。
  SRT: 而是要把未来的重量也压在天秤上

[0.230] archive_cyrene_24
  LAB: 嘘——健康生活的小妙招，我都是从他那里学来的。勤睡早起，多吃苦练，人家现在…学会了一半！
  SRT: 村子里的人都说我是未来的岁月祭司不过占卜的次数多了

[0.230] side4_shitang_cyrene_160
  LAB: 好好吃！虽然是尝过好多遍的菜品，但在宴会上别有一番风味呢！来，你要不要也尝一口……
  SRT: 小妖精好难过但他马上发现碎片里有一团光是什么他不知道

[0.232] chapter4_50_cyrene_139
  LAB: …就算写下他的名字，也不会发生任何事哦？而且，这本书是很可爱的童话，不要写下反派的内容啦。
  SRT: 像是被他吸引了这是一只更可爱的异灵难怪流影实际装不下更多回忆

[0.233] side4_shitang_cyrene_144
  LAB: 毕竟两位是理性学府的专家嘛，解决这种小问题应该不在话下。
  SRT: 是个好问题呀我也不知道自己身在何方

[0.235] archive_cyrene_25
  LAB: 我也是遐蝶的忠实读者！呀…不小心暴露了什么？是因为…除了那些美好的幻想，我还能从她的故事里收获十二分的感动！
  SRT: 也学会了爱桃子的话不懂是因为我还没理解爱

[0.235] chapter4_41_cyrene_186
  LAB: 农田刚翻整过呢……
  SRT: 没办法完整地复现过去

[0.235] chapter4_69_cyrene_109
  LAB: 往后的道路，不再依靠冰冷的程序，而取决于人们的意志。
  SRT: 是冰冷的真理罪恶的本能

[0.235] side4_shitang_cyrene_167
  LAB: 莫非，是因为快乐的时光临近结束，会让你觉得有些感伤？
  SRT: 是因为你一直躲在里面吗

[0.235] side4_shitang_cyrene_176
  LAB: 该结束啦。毕竟宴会过后，妖精们就该回去睡觉了。它们可都是早睡早起的好宝宝。
  SRT: 就算正式完本了我们可是他共同的主笔呀

[0.235] vo_ambient_w4_v340_greeting_cyrene_110
  LAB: 软乎乎的小海豹，在水池里一摇一摆，嘟嘟的，嘟嘟的…真是可爱到不行~
  SRT: 她的背后是来股市妄图操纵一切的黑幕真是不可饶恕

[0.239] chapter4_41_cyrene_135
  LAB: 不好意思啦！就当是陪我出门散了个步，锻炼下身体吧？毕竟我不像你，每天运动量没那么充足。
  SRT: 这里不妨将计就计把十颗矛交给他保管吧毕竟小凯撒对你那么关注

[0.240] side4_shitang_cyrene_135
  LAB: 我宣布——妖精餐馆首次经营，完美结束！
  SRT: 我的使命到此就结束了

[0.240] vo_ambient_w4_v340_greeting_cyrene_113
  LAB: 水面有动静了！快快，把鱼竿提起来，拜托啦！
  SRT: 后面的记忆没有了

[0.244] side4_shitang_cyrene_131
  LAB: 缇宝、缇宁和缇安，可靠的送餐服务负责人，也是员工的好老师。
  SRT: 和泰坦的战争也算是牺牲的一部分吗

[0.245] chapter4_41_cyrene_150
  LAB: 被连绵的山和海包围的哀丽秘榭，小时候还在纸上画过这里的风景。
  SRT: 小时候我做过一个梦梦里是个昏暗冰冷的小房间

[0.247] archive_cyrene_27
  LAB: 伴着和煦的微风，喝着花茶，和风堇一起揉搓白白软软的小伊卡…嘻，幻想着这样的时光，不想醒来也是人之常情吧？
  SRT: 趁着萤火和微风你们的命运也将流向同样的未来现在来抽牌吧

[0.247] archive_cyrene_29
  LAB: 海瑟音的歌声，听过一次就难以忘怀。托她的福，世界每时每刻都是一场华丽的舞会。现在，一起跳支舞吧？
  SRT: 海的对面是一个沐浴在阳光下的世界这一世童年般的黄金事会延续千年

[0.250] archive_cyrene_11
  LAB: 名为「昔涟」的少女，怎么会有烦恼呢？就算有——见到你的时候，也都烟消云散啦。
  SRT: 才能勾勒出它的尾声呢你睡着的时候

[0.250] archive_cyrene_4
  LAB: 从天真无邪的「迷迷」，到青春活泼的「昔涟」，因为有你，人家的故事越来越圆满了呢。无论涟漪如何荡漾，都是我们亲手写下的诗篇呀♪
  SRT: 也是讲述如何回应爱的故事而无论是我们已经写成的

[0.250] side4_shitang_cyrene_114
  LAB: 收拾心绪，也是启程的一环呀。拜托啦，不会花太久的，就当是满足人家的小小心愿，可以吗？
  SRT: 而是开拓者的必然一个人的性格就是他的命运

[0.250] side4_shitang_cyrene_158
  LAB: 说不定村长会悄悄飘过来，拜托你守好背后……
  SRT: 可以拜托你吗

[0.250] side4_shitang_cyrene_171
  LAB: 从这里望去，能把整场宴会尽收眼底呢。
  SRT: 神谕牌不在这里呢

[0.250] side4_shitang_cyrene_172
  LAB: 也许不想加入其中，只是害怕愉快的时光转瞬即逝，不知不觉就会戛然而止。
  SRT: 看来又要到分别的时候了呀不知不觉中

[0.253] side4_shitang_cyrene_123
  LAB: 「咳咳，这是故事的登场人物之一，出生在哀丽秘榭的平凡少女，只是恰好和我同名，又一样纯真可爱。」
