发送者UID,时间戳,消息类型,内容(文本或图片路径),原始JSON
629882042,1771489331,1,"{""content"":""我这号还是四年级托人注册的""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""我这号还是四年级托人注册的\""}"", ""msg_seqno"": 2278234046275584, ""timestamp"": 1771489331, ""at_uids"": [0], ""msg_key"": 7608488742312187142, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
629882042,1771489285,1,"{""content"":""实名了""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""实名了\""}"", ""msg_seqno"": 2278233274601474, ""timestamp"": 1771489285, ""at_uids"": [0], ""msg_key"": 7608488544985614109, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
346344298,1771489279,1,"{""content"":""实名""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""实名\""}"", ""msg_seqno"": 2278233173860353, ""timestamp"": 1771489279, ""at_uids"": [0], ""msg_key"": 7608488518864835803, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
629882042,1771489272,1,"{""content"":""sm什么意思""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""sm什么意思\""}"", ""msg_seqno"": 2278233056219138, ""timestamp"": 1771489272, ""at_uids"": [0], ""msg_key"": 7608488489502442922, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
629882042,1771489263,1,"{""content"":""？？？""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""？？？\""}"", ""msg_seqno"": 2278232904945664, ""timestamp"": 1771489263, ""at_uids"": [0], ""msg_key"": 7608488450239169455, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
346344298,1771489261,1,"{""content"":""冲冲喜""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""冲冲喜\""}"", ""msg_seqno"": 2278232871669760, ""timestamp"": 1771489261, ""at_uids"": [0], ""msg_key"": 7608488441655920031, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489251,1,"{""content"":""我还想给你发红包来着""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""我还想给你发红包来着\""}"", ""msg_seqno"": 2278232704229376, ""timestamp"": 1771489251, ""at_uids"": [0], ""msg_key"": 7608488398635435932, ""msg_status"": 0, ""notify_code"": """", ""key_hit_infos"": {""toast"": ""【温馨提示】聊天中请勿泄露您的财产信息，谨防上当受骗。"", ""rule_id"": 2, ""high_text"": [{}]}, ""msg_source"": 1}"
346344298,1771489244,1,"{""content"":""对了你QQsm了吗""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""对了你QQsm了吗\""}"", ""msg_seqno"": 2278232586764288, ""timestamp"": 1771489244, ""at_uids"": [0], ""msg_key"": 7608488368761877740, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489228,1,"{""content"":""新年快乐呀""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""新年快乐呀\""}"", ""msg_seqno"": 2278232318394368, ""timestamp"": 1771489228, ""at_uids"": [0], ""msg_key"": 7608488300509180875, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
629882042,1771489207,1,"{""content"":""顺祝新年快乐""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""顺祝新年快乐\""}"", ""msg_seqno"": 2278231965802496, ""timestamp"": 1771489207, ""at_uids"": [0], ""msg_key"": 7608488209415970025, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
